Suburb,Unit_1BR_Count,Unit_1BR_Median,Unit_2BR_Count,Unit_2BR_Median,Unit_3BR_Count,Unit_3BR_Median,Unit_Total_Count,Unit_Total_Median,House_Total_Count,House_Total_Median,Total_Count,Total_Median
St Marys,,,10.0,440.0,,570.0,10.0,450.0,15.0,650.0,30.0,500.0
St Morris,,,,500.0,,,,500.0,,860.0,10.0,610.0
St Peters,,420.0,10.0,500.0,,,15.0,500.0,10.0,727.5,25.0,510.0
Stepney,,,,,,,,,10.0,797.5,10.0,797.5
Stirling,,,,,,,,,,970.0,,970.0
Stonyfell,,,,,,,,,,1000.0,,1000.0
Sturt,,172.5,,,,,,172.5,20.0,657.5,20.0,652.5
Summertown,,,,,,,,,,825.0,,825.0
Surrey Downs,,,,520.0,,,,520.0,10.0,620.0,15.0,620.0
Taperoo,,180.0,,203.2,,,,203.2,20.0,550.0,25.0,550.0
Tea Tree Gully,,335.0,,510.0,,550.0,5.0,505.0,15.0,635.0,20.0,550.0
Tennyson,,,,570.0,,,,570.0,,895.0,5.0,650.0
Teringie,,,,,,570.0,,570.0,,1000.0,,887.5
Thebarton,,266.0,,430.0,,690.0,,430.0,15.0,575.0,15.0,537.5
Thorngate,,,,,,,,,,335.0,,335.0
Tonsley,,260.0,,620.0,,800.0,10.0,620.0,20.0,675.0,30.0,650.0
Toorak Gardens,,460.0,,580.0,,,5.0,520.0,,795.0,10.0,600.0
Torrens Park,,,,450.0,,,,450.0,5.0,870.0,10.0,592.5
Torrensville,,400.0,5.0,510.0,,550.0,10.0,512.5,15.0,700.0,25.0,620.0
Tranmere,,,,425.0,,750.0,5.0,490.0,30.0,695.0,35.0,687.5
Trinity Gardens,,,,560.0,,450.0,5.0,560.0,,650.0,10.0,600.0
Trott Park,,,,,,,,,,667.5,,667.5
Tusmore,,,5.0,535.0,,,5.0,535.0,,670.0,10.0,550.0
Underdale,,380.0,5.0,525.0,,380.0,10.0,507.5,10.0,647.5,20.0,535.0
Unley,,315.0,15.0,530.0,5.0,675.0,25.0,560.0,20.0,735.0,45.0,622.5
Unley Park,,,,550.0,,,5.0,575.0,5.0,720.0,10.0,675.0
Upper Sturt,,,,,,,,,,640.0,,640.0
Uraidla,,,,,,,,,,850.0,,850.0
Urrbrae,,,,630.0,,,,630.0,,600.0,,615.0
Vale Park,,400.0,,500.0,,,,450.0,5.0,667.5,10.0,597.5
Valley View,,,,440.0,,,,440.0,40.0,615.0,45.0,600.0
Virginia,,,,,,,,,25.0,595.0,25.0,595.0
