Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Pressure_Category
Loxton North,,380.0,380.0,5.0,Low
Callington,,380.0,380.0,,Low
Blackfellows Caves,,380.0,380.0,,Low
Warooka,,380.0,380.0,,Low
Ballast Head,,380.0,380.0,,Low
Yorketown,,380.0,380.0,,Low
Moonta Bay,200.7,400.0,380.0,10.0,Low
Roxby Downs,310.0,400.0,377.5,60.0,Low
Wellington East,,375.0,375.0,,Low
Nepean Bay,,375.0,375.0,,Low
Naracoorte,325.0,390.0,370.0,40.0,Low
Solomontown,,370.0,370.0,15.0,Low
Meningie,315.0,400.0,370.0,,Low
Peterborough,,367.5,367.5,5.0,Low
Tumby Bay,300.0,500.0,365.0,10.0,Low
Port Wakefield,365.0,485.0,365.0,,Low
Monash,300.0,430.0,365.0,,Low
Maitland,,362.5,362.5,5.0,Low
Lucindale,,360.0,360.0,,Low
Henley Beach South,242.65,1000.0,357.25,40.0,Low
Risdon Park South,,355.0,355.0,5.0,Low
Mylor,350.0,,350.0,,Low
Berri,250.0,380.0,350.0,35.0,Low
Kybunga,,350.0,350.0,,Low
Tulka,,350.0,350.0,,Low
German Creek,,350.0,350.0,,Low
Napperby,,350.0,350.0,,Low
Paringa,330.0,460.0,350.0,5.0,Low
Mccracken,300.0,630.0,350.0,5.0,Low
Kingston SE,350.0,325.0,350.0,,Low
Lameroo,250.0,350.0,350.0,,Low
Medindie,600.0,1125.0,350.0,15.0,Low
Gladstone,,350.0,350.0,,Low
Arno Bay,,350.0,350.0,,Low
Wilmington,,350.0,350.0,,Low
Riverglades,,350.0,350.0,,Low
Hatherleigh,,350.0,350.0,,Low
Allendale East,,345.0,345.0,,Low
Mannum,270.0,420.0,340.0,10.0,Low
Waikerie,250.0,350.0,340.0,10.0,Low
Penola,,340.0,340.0,,Low
Wonuarra,,340.0,340.0,,Low
Cooltong,,340.0,340.0,,Low
Port Pirie West,240.0,350.0,337.5,20.0,Low
Owen,,335.0,335.0,,Low
Thorngate,,335.0,335.0,,Low
Redhill,,330.0,330.0,,Low
Lochiel,,330.0,330.0,,Low
Barmera,320.0,360.0,330.0,15.0,Low
Millicent,320.0,350.0,330.0,25.0,Low
